Category: All categories

Month,Police: (United States)
2013-01,37
2013-02,39
2013-03,37
2013-04,39
2013-05,39
2013-06,38
2013-07,40
2013-08,39
2013-09,37
2013-10,38
2013-11,35
2013-12,34
2014-01,37
2014-02,37
2014-03,36
2014-04,37
2014-05,38
2014-06,39
2014-07,41
2014-08,46
2014-09,39
2014-10,38
2014-11,38
2014-12,45
2015-01,39
2015-02,37
2015-03,40
2015-04,45
2015-05,43
2015-06,42
2015-07,42
2015-08,41
2015-09,41
2015-10,38
2015-11,39
2015-12,38
2016-01,36
2016-02,38
2016-03,38
2016-04,37
2016-05,39
2016-06,40
2016-07,67
2016-08,39
2016-09,45
2016-10,39
2016-11,37
2016-12,35
2017-01,38
2017-02,36
2017-03,38
2017-04,37
2017-05,41
2017-06,39
2017-07,40
2017-08,40
2017-09,38
2017-10,39
2017-11,36
2017-12,34
2018-01,36
2018-02,39
2018-03,39
2018-04,37
2018-05,39
2018-06,39
2018-07,42
2018-08,40
2018-09,37
2018-10,38
2018-11,35
2018-12,35
2019-01,39
2019-02,37
2019-03,37
2019-04,36
2019-05,39
2019-06,39
2019-07,39
2019-08,38
2019-09,36
2019-10,37
2019-11,31
2019-12,35
2020-01,34
2020-02,34
2020-03,32
2020-04,32
2020-05,49
2020-06,100
2020-07,46
2020-08,43
2020-09,40
2020-10,34
2020-11,30
2020-12,31
2021-01,37
2021-02,34
2021-03,33
2021-04,47
2021-05,33
2021-06,34
2021-07,38
2021-08,35
2021-09,34
2021-10,34
2021-11,32
2021-12,32
2022-01,32
2022-02,35
2022-03,33
2022-04,35
2022-05,36
2022-06,34
2022-07,38
2022-08,35
2022-09,34
2022-10,35
2022-11,30
2022-12,32
2023-01,41
2023-02,38
2023-03,36
2023-04,35
2023-05,36
2023-06,35
2023-07,35
2023-08,35
2023-09,33
2023-10,34
2023-11,31
2023-12,31
