Category: All categories

Month,policing: (United States)
2013-01,12
2013-02,18
2013-03,16
2013-04,18
2013-05,13
2013-06,10
2013-07,10
2013-08,10
2013-09,17
2013-10,21
2013-11,15
2013-12,12
2014-01,13
2014-02,18
2014-03,16
2014-04,17
2014-05,13
2014-06,11
2014-07,11
2014-08,12
2014-09,18
2014-10,22
2014-11,17
2014-12,19
2015-01,15
2015-02,19
2015-03,21
2015-04,20
2015-05,18
2015-06,13
2015-07,11
2015-08,13
2015-09,20
2015-10,24
2015-11,20
2015-12,16
2016-01,14
2016-02,21
2016-03,18
2016-04,19
2016-05,15
2016-06,12
2016-07,21
2016-08,15
2016-09,23
2016-10,25
2016-11,20
2016-12,15
2017-01,16
2017-02,22
2017-03,19
2017-04,20
2017-05,14
2017-06,11
2017-07,10
2017-08,11
2017-09,18
2017-10,23
2017-11,18
2017-12,14
2018-01,13
2018-02,20
2018-03,17
2018-04,19
2018-05,13
2018-06,11
2018-07,10
2018-08,11
2018-09,20
2018-10,23
2018-11,17
2018-12,14
2019-01,13
2019-02,18
2019-03,17
2019-04,18
2019-05,12
2019-06,11
2019-07,9
2019-08,10
2019-09,19
2019-10,22
2019-11,17
2019-12,13
2020-01,12
2020-02,23
2020-03,18
2020-04,16
2020-05,20
2020-06,100
2020-07,26
2020-08,22
2020-09,34
2020-10,30
2020-11,19
2020-12,14
2021-01,15
2021-02,23
2021-03,26
2021-04,31
2021-05,19
2021-06,13
2021-07,11
2021-08,11
2021-09,19
2021-10,22
2021-11,18
2021-12,13
2022-01,15
2022-02,26
2022-03,24
2022-04,23
2022-05,20
2022-06,14
2022-07,12
2022-08,12
2022-09,23
2022-10,23
2022-11,20
2022-12,15
2023-01,17
2023-02,29
2023-03,22
2023-04,20
2023-05,15
2023-06,12
2023-07,11
2023-08,13
2023-09,21
2023-10,26
2023-11,19
2023-12,14
