Category: All categories

Month,race: (United States)
2013-01,29
2013-02,35
2013-03,37
2013-04,39
2013-05,40
2013-06,34
2013-07,37
2013-08,33
2013-09,34
2013-10,33
2013-11,31
2013-12,26
2014-01,28
2014-02,31
2014-03,37
2014-04,39
2014-05,45
2014-06,39
2014-07,34
2014-08,37
2014-09,37
2014-10,34
2014-11,45
2014-12,29
2015-01,27
2015-02,31
2015-03,38
2015-04,38
2015-05,44
2015-06,40
2015-07,35
2015-08,37
2015-09,37
2015-10,34
2015-11,34
2015-12,28
2016-01,29
2016-02,41
2016-03,41
2016-04,40
2016-05,44
2016-06,36
2016-07,41
2016-08,42
2016-09,38
2016-10,38
2016-11,44
2016-12,27
2017-01,28
2017-02,33
2017-03,38
2017-04,39
2017-05,44
2017-06,38
2017-07,36
2017-08,36
2017-09,35
2017-10,35
2017-11,39
2017-12,41
2018-01,31
2018-02,39
2018-03,38
2018-04,36
2018-05,42
2018-06,43
2018-07,37
2018-08,37
2018-09,36
2018-10,39
2018-11,100
2018-12,27
2019-01,28
2019-02,36
2019-03,38
2019-04,37
2019-05,42
2019-06,37
2019-07,37
2019-08,34
2019-09,34
2019-10,35
2019-11,36
2019-12,26
2020-01,27
2020-02,38
2020-03,34
2020-04,30
2020-05,39
2020-06,52
2020-07,39
2020-08,38
2020-09,38
2020-10,42
2020-11,62
2020-12,31
2021-01,59
2021-02,33
2021-03,36
2021-04,37
2021-05,43
2021-06,48
2021-07,41
2021-08,36
2021-09,34
2021-10,37
2021-11,57
2021-12,26
2022-01,33
2022-02,39
2022-03,39
2022-04,45
2022-05,50
2022-06,39
2022-07,42
2022-08,44
2022-09,40
2022-10,41
2022-11,93
2022-12,33
2023-01,31
2023-02,38
2023-03,38
2023-04,41
2023-05,46
2023-06,38
2023-07,40
2023-08,37
2023-09,38
2023-10,37
2023-11,36
2023-12,30
