Category: All categories

Month,racism: (United States)
2013-01,7
2013-02,9
2013-03,9
2013-04,11
2013-05,10
2013-06,6
2013-07,11
2013-08,7
2013-09,9
2013-10,10
2013-11,12
2013-12,10
2014-01,9
2014-02,11
2014-03,10
2014-04,14
2014-05,13
2014-06,9
2014-07,7
2014-08,8
2014-09,11
2014-10,11
2014-11,13
2014-12,14
2015-01,10
2015-02,12
2015-03,15
2015-04,15
2015-05,14
2015-06,12
2015-07,10
2015-08,8
2015-09,11
2015-10,13
2015-11,18
2015-12,13
2016-01,12
2016-02,17
2016-03,16
2016-04,15
2016-05,13
2016-06,11
2016-07,15
2016-08,9
2016-09,15
2016-10,15
2016-11,23
2016-12,13
2017-01,14
2017-02,16
2017-03,15
2017-04,14
2017-05,14
2017-06,9
2017-07,8
2017-08,17
2017-09,15
2017-10,15
2017-11,14
2017-12,12
2018-01,13
2018-02,14
2018-03,14
2018-04,15
2018-05,15
2018-06,10
2018-07,10
2018-08,10
2018-09,11
2018-10,13
2018-11,15
2018-12,12
2019-01,13
2019-02,15
2019-03,14
2019-04,14
2019-05,12
2019-06,8
2019-07,11
2019-08,10
2019-09,11
2019-10,12
2019-11,12
2019-12,11
2020-01,11
2020-02,16
2020-03,12
2020-04,13
2020-05,25
2020-06,100
2020-07,33
2020-08,23
2020-09,24
2020-10,21
2020-11,17
2020-12,13
2021-01,15
2021-02,22
2021-03,23
2021-04,20
2021-05,15
2021-06,13
2021-07,12
2021-08,9
2021-09,11
2021-10,12
2021-11,14
2021-12,11
2022-01,11
2022-02,17
2022-03,15
2022-04,17
2022-05,16
2022-06,11
2022-07,10
2022-08,10
2022-09,14
2022-10,13
2022-11,13
2022-12,13
2023-01,12
2023-02,16
2023-03,16
2023-04,14
2023-05,14
2023-06,13
2023-07,10
2023-08,9
2023-09,11
2023-10,12
2023-11,11
2023-12,10
