"Paper","DOI","Total Citations","TC per Year","Normalized TC"
"MCGEE EO, 2016, AM EDUC RES J","10.3102/0002831216676572","183","20.33","4.40"
"HARRELL CJP, 2011, DU BOIS REV","10.1017/S1742058X11000178","167","11.93","2.00"
"MCGEE EO, 2020, EDUC RESEARCHER","10.3102/0013189X20972718","161","32.20","5.02"
"CHAVEZ-DUEÑAS NY, 2019, AM PSYCHOL","10.1037/amp0000289","151","25.17","4.92"
"MCGEE EO, 2017, COGNITION INSTRUCT","10.1080/07370008.2017.1355211","144","18.00","5.83"
"WEN J, 2020, ANATOLIA","10.1080/13032917.2020.1730621","136","27.20","4.24"
"GRAY KL, 2012, INFORM COMMUN SOC","10.1080/1369118X.2011.642401","120","9.23","3.43"
"ALDANA A, 2019, ADOLESC RES REV","10.1007/s40894-019-00113-1","83","13.83","2.70"
"GASTON GB, 2013, AIDS BEHAV","10.1007/s10461-012-0323-x","83","6.92","2.99"
"TATE SA, 2018, ETHICS EDUC","10.1080/17449642.2018.1428718","81","11.57","3.79"
