Citation Topics Micro	Record Count	% of 474
1.103.1126 Chronic Myeloid Leukemia	1	0.211
1.103.155 Acute Myeloid Leukemia	2	0.422
1.104.1353 Coronavirus	4	0.844
1.106.478 Systemic Lupus Erythematosus	1	0.211
1.112.237 Palliative Care	1	0.211
1.119.454 Breast Cancer Incidence	2	0.422
1.128.482 Contraception	2	0.422
1.136.1070 School Psychology	1	0.211
1.136.283 Autism	1	0.211
1.136.536 Disabilities	2	0.422
1.137.217 Melatonin	1	0.211
1.14.265 Nursing	2	0.422
1.14.363 Nursing Education	2	0.422
1.14.364 Health Insurance	2	0.422
1.14.763 Evidence-based Practice	1	0.211
1.14.841 Academic Medicine	33	6.962
1.14.849 Surgical Education	1	0.211
1.142.165 Urinary Incontinence	1	0.211
1.155.598 Informed Consent	1	0.211
1.156.1502 Indigenous Education	3	0.633
1.156.2068 Unemployment	1	0.211
1.156.2181 Public Health Workforce	1	0.211
1.156.436 Self-rated Health	38	8.017
1.157.708 Organ Donation	1	0.211
1.189.310 Population Genetics	2	0.422
1.21.1363 Mental Health	1	0.211
1.21.2270 Perfectionism	4	0.844
1.21.24 Schizophrenia	2	0.422
1.21.624 Psychopathy	2	0.422
1.252.74 Smoking Cessation	1	0.211
1.273.1447 Telemedicine	2	0.422
1.273.870 Health Literacy	1	0.211
1.44.1069 Sibutramine	1	0.211
1.66.11 Hiv Prevalence & Prophylaxis	2	0.422
1.7.1311 Numerical Cognition	1	0.211
1.7.2100 Deception Detection	1	0.211
1.7.354 Emotion	1	0.211
1.72.1710 Postpartum Hemorrhage	2	0.422
1.72.182 Gestational Diabetes Mellitus	1	0.211
1.72.808 Breech Presentation	1	0.211
1.80.41 Osteoporosis	1	0.211
1.81.979 Twin-twin Transfusion Syndrome	1	0.211
10.126.1852 Husserl	1	0.211
10.126.530 Rawls	1	0.211
10.144.1118 Anthropometric History	1	0.211
10.144.1387 Civil Rights	2	0.422
10.144.1613 Mexican Revolution	2	0.422
10.144.1621 Settler Colonialism	2	0.422
10.144.2123 Environmental History	1	0.211
10.144.2299 Devolution	1	0.211
10.240.1566 Popular Music	1	0.211
10.245.1463 Fascism	1	0.211
10.245.1619 Cold War	1	0.211
10.245.2014 Zionism	1	0.211
10.268.1427 Natural Philosophy	1	0.211
10.268.2117 Eugenics	1	0.211
10.279.1137 Soviet Union	1	0.211
10.279.2407 Balkanism	1	0.211
10.99.1623 World Literature	1	0.211
10.99.1714 Jane Eyre	2	0.422
10.99.1793 Toni Morrison	3	0.633
10.99.2330 Hikikomori	1	0.211
10.99.2415 Irish Literature	1	0.211
10.99.2424 Contemporary German Literature	1	0.211
