word,Dim.1,Dim.2,cluster
race,-0.51,-0.04,1
racism,-0.47,-0.08,1
discrimination,1.19,0.04,1
health,1.07,-0.01,1
disparities,-0.2,-0.22,1
education,-0.18,-0.8,1
experiences,0.12,1.3,1
mental.health,0.72,-0.22,1
black,-0.68,1.25,1
politics,-1.48,0.72,1
gender,-1.33,2.23,1
identity,0.66,-0.74,1
women,-0.82,2.25,1
care,-0.2,-0.04,1
impact,1.27,-0.18,1
microaggressions,1.21,-1.05,1
perceived.discrimination,1.24,1.56,1
united.states,0.72,1.22,1
diversity,-0.58,0,1
prejudice,1.43,0.17,1
stress,1.76,1.1,1
structural.racism,0.35,0.69,1
violence,0.62,0.69,1
african.americans,1.69,1.07,1
american,0.28,-1.18,1
bias,-0.74,-1.01,1
color,-0.46,1.34,1
context,0.48,-0.77,1
ethnicity,-1.25,-0.3,1
framework,-0.61,0.16,1
health.care,-0.5,-0.54,1
migration,-0.24,-0.19,1
perceptions,0.72,0.03,1
science,-0.41,0.96,1
african.american,0.21,0.88,1
attitudes,2.65,-0.22,1
children,0.48,0.28,1
college.students,2.79,0.16,1
competences,-0.74,-2.25,1
consequences,1.47,0.85,1
construction,1.44,0.23,1
critical.race.theory,0.67,-2.37,1
culture,-0.66,-0.28,1
difference,-1.55,0.08,1
ethnic.discrimination,1.35,1.82,1
intersectionality,-0.66,1.43,1
socialization,0.89,-0.03,1
equity,-0.73,-0.25,1
justice,0.54,2.12,1
model,0.34,1.48,1
multiculturalism,-1.82,1.22,1
psychological.distress,1.39,1.02,1
racial.microaggressions,-0.32,-0.6,1
social.justice,-0.66,-2.5,1
trauma,0.55,-1.42,1
