Racism and STEM  (All Fields) and 1997-2024 (Publication Years)
Timespan: 1997-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Racial resentment and white opposition to race-conscious programs: Principles or prejudice?","Feldman, S; Huddy, L","","","","AMERICAN JOURNAL OF POLITICAL SCIENCE","JAN 2005","2005","49","1","","","","168","183","","","","","242","12.10","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","3","5","6","10","3","10","7","12","15","15","15","23","26","32","24","20","8"
"Devalued Black and Latino Racial Identities: A By-Product of STEM College Culture?","McGee, Ebony O.","","","","AMERICAN EDUCATIONAL RESEARCH JOURNAL","DEC 2016","2016","53","6","","","","1626","1662","","10.3102/0002831216676572","","","183","20.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","16","17","42","45","40","14"
"Perceptions of racial microaggressions among Black supervisees in cross-racial dyads","Constantine, Madonna G.; Sue, Derald Wing","","","","JOURNAL OF COUNSELING PSYCHOLOGY","APR 2007","2007","54","2","","","","142","153","","10.1037/0022-0167.54.2.142","","","182","10.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","8","13","6","7","3","11","12","8","10","22","15","14","15","13","15","3"
"Multiple Pathways Linking Racism to Health Outcomes","Harrell, Camara Jules P.; Burford, Tanisha I.; Cage, Brandi N.; Nelson, Travette McNair; Shearon, Sheronda; Thompson, Adrian; Green, Steven","","","","DU BOIS REVIEW-SOCIAL SCIENCE RESEARCH ON RACE","SPR 2011","2011","8","1","","","SI","143","157","","10.1017/S1742058X11000178","","","167","11.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","7","9","7","11","10","12","21","27","27","27","1"
"Interrogating Structural Racism in STEM Higher Education","McGee, Ebony Omotola","","","","EDUCATIONAL RESEARCHER","DEC 2020","2020","49","9","","","","633","644","","10.3102/0013189X20972718","","","161","32.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","50","60","26"
"Healing Ethno-Racial Trauma in Latinx Immigrant Communities: Cultivating Hope, Resistance, and Action","Chavez-Duenas, Nayeli Y.; Adames, Hector Y.; Perez-Chavez, Jessica G.; Salas, Silvia P.","","","","AMERICAN PSYCHOLOGIST","JAN 2019","2019","74","1","","","SI","49","62","","10.1037/amp0000289","","","151","25.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","17","41","54","25","7"
"The Troubled Success of Black Women in STEM","McGee, Ebony O.; Bentley, Lydia","","","","COGNITION AND INSTRUCTION","2017","2017","35","4","","","","265","289","","10.1080/07370008.2017.1355211","","","144","18.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","14","38","42","29","6"
"Effects of misleading media coverage on public health crisis: a case of the 2019 novel coronavirus outbreak in China","Wen, Jun; Aston, Joshua; Liu, Xinyi; Ying, Tianyu","","","","ANATOLIA-INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY RESEARCH","APR 2 2020","2020","31","2","","","SI","331","336","","10.1080/13032917.2020.1730621","","","136","27.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","57","23","21","4"
"Epistemic Exclusion: Scholar(ly) Devaluation That Marginalizes Faculty of Color","Settles, Isis H.; Jones, Martinque K.; Buchanan, NiCole T.; Dotson, Kristie","","","","JOURNAL OF DIVERSITY IN HIGHER EDUCATION","DEC 2021","2021","14","4","","","","493","507","","10.1037/dhe0000174","","","130","32.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","25","30","46","23"
"Are Americans ambivalent towards racial policies?","Alvarez, RM; Brehm, J","","","","AMERICAN JOURNAL OF POLITICAL SCIENCE","APR 1997","1997","41","2","","","","345","374","","10.2307/2111768","53rd Annual Meeting of the Midwest-Political-Science-Association","APR 06-08, 1995","122","4.36","0","0","0","0","0","0","2","1","5","7","5","9","5","11","7","3","9","4","5","3","0","9","3","7","4","6","1","5","3","3","1","3","1"
